Title,Authors,Publication Year,Publication Link,Authors Profile
Barriers and Facilitators to Participation and Key Components of Sleep Health Programs: perspectives for the corporate work environment,"Roden, L.",1 Jan 2024,https://pureportal.coventry.ac.uk/en/publications/barriers-and-facilitators-to-participation-and-key-components-of-,https://pureportal.coventry.ac.uk/en/persons/laura-roden
Doxorubicin alters G-protein coupled receptor-mediated vasocontraction in rat coronary arteries,"Lozahic, C.,Maddock, H.,Wheatley, M.,Sandhu, H.",29 Jan 2024,https://pureportal.coventry.ac.uk/en/publications/doxorubicin-alters-g-protein-coupled-receptor-mediated-vasocontra,https://pureportal.coventry.ac.uk/en/persons/caroline-lozahic
Human gut microbiota and endocrinology: paradigm shift from genome to its regulation,"Turner, M. C.,Morozov, I.",1 Feb 2024,https://pureportal.coventry.ac.uk/en/publications/human-gut-microbiota-and-endocrinology-paradigm-shift-from-genome,https://pureportal.coventry.ac.uk/en/persons/mark-turner
Hatem Ali,Hatem Ali,1 Feb 2024,https://pureportal.coventry.ac.uk/en/persons/hatem-ali,https://pureportal.coventry.ac.uk/en/persons/hatem-ali
Sara Anisi,Sara Anisi,1 Feb 2024,https://pureportal.coventry.ac.uk/en/persons/sara-anisi,https://pureportal.coventry.ac.uk/en/persons/sara-anisi
Soraya Anisi,Soraya Anisi,1 Feb 2024,https://pureportal.coventry.ac.uk/en/persons/soraya-anisi,https://pureportal.coventry.ac.uk/en/persons/soraya-anisi
STRATIFYHF:Artificial intelligence-based decision support system for risk stratification and early detection of heart failure in primary and secondary care,"Jakovljevic, D.,Okwose, N.",1/06/23,https://pureportal.coventry.ac.uk/en/projects/artificial-intelligence-based-decision-support-system-for-risk-st,https://pureportal.coventry.ac.uk/en/persons/djordje-jakovljevic
CORSEscore :CORSscore: Decision support system for the novel Cardiac Output Response to Stress(CORS) test SCORE for risk stratification and early diagnosis of heart failure,"Jakovljevic, D.,Okwose, N.",1/03/24,https://pureportal.coventry.ac.uk/en/projects/corsscore-decision-support-system-for-the-novel-cardiac-output-re,https://pureportal.coventry.ac.uk/en/persons/djordje-jakovljevic
Biochemical Society (External organisation),Mike Dodd,2023,https://pureportal.coventry.ac.uk/en/activities/biochemical-society-external-organisation,https://pureportal.coventry.ac.uk/en/persons/mike-dodd
External Examiner - iBSc in Endocrinology,Mark Turner,2023,https://pureportal.coventry.ac.uk/en/activities/external-examiner-ibsc-in-endocrinology,https://pureportal.coventry.ac.uk/en/persons/mark-turner
PhD Viva: THE INFLUENCE OF OPTIMAL DIETARY PROTEIN INTAKE FOR MUSCLE METABOLISM ACROSS THE LIFESPAN,Mark Turner,27 Apr 2023,https://pureportal.coventry.ac.uk/en/activities/phd-viva-the-influence-of-optimal-dietary-protein-intake-for-musc,https://pureportal.coventry.ac.uk/en/persons/mark-turner
Innovate UK KTP Awards,"Farnaud, Sebastien",27 Apr 2023,https://pureportal.coventry.ac.uk/en/prizes/innovate-uk-ktp-awards,https://pureportal.coventry.ac.uk/en/persons/sebastien-farnaud
National Recycling Award (NRA),"Farnaud, Sebastien",27 Apr 2023,https://pureportal.coventry.ac.uk/en/prizes/national-recycling-award-nra,https://pureportal.coventry.ac.uk/en/persons/sebastien-farnaud
THE (Times Higher Education) Award 2023,"Farnaud, Sebastien",27 Apr 2023,https://pureportal.coventry.ac.uk/en/prizes/the-times-higher-education-award-2023,https://pureportal.coventry.ac.uk/en/persons/sebastien-farnaud
Bacteria can recover precious metals from electric vehicle batteries – here’s how,Sebastien Farnaud,17/01/21,https://pureportal.coventry.ac.uk/en/clippings/bacteria-can-recover-precious-metals-from-electric-vehicle-batter,https://pureportal.coventry.ac.uk/en/persons/sebastien-farnaud
Bioleaching for WEEE recycling For Sustainability and a Circular Economy,Sebastien Farnaud,8/12/20,https://pureportal.coventry.ac.uk/en/clippings/bioleaching-for-weee-recycling-for-sustainability-and-a-circular-,https://pureportal.coventry.ac.uk/en/persons/sebastien-farnaud
